,value,group
0,0.09,Dairy and Egg Products
1,0.05,Dairy and Egg Products
2,0.01,Dairy and Egg Products
3,2.66,Dairy and Egg Products
4,2.6,Dairy and Egg Products
5,2.38,Dairy and Egg Products
6,2.38,Dairy and Egg Products
7,2.94,Dairy and Egg Products
8,3.64,Dairy and Egg Products
9,2.79,Dairy and Egg Products
10,3.07,Dairy and Egg Products
11,0.4,Dairy and Egg Products
12,0.33,Dairy and Egg Products
13,0.47,Dairy and Egg Products
14,0.51,Dairy and Egg Products
15,0.38,Dairy and Egg Products
16,0.5,Dairy and Egg Products
17,3.75,Dairy and Egg Products
18,2.88,Dairy and Egg Products
19,3.5,Dairy and Egg Products
20,1.14,Dairy and Egg Products
21,3.9,Dairy and Egg Products
22,3.9,Dairy and Egg Products
23,2.1,Dairy and Egg Products
24,3.0,Dairy and Egg Products
25,2.92,Dairy and Egg Products
26,2.46,Dairy and Egg Products
27,2.76,Dairy and Egg Products
28,3.62,Dairy and Egg Products
29,2.81,Dairy and Egg Products
30,0.82,Dairy and Egg Products
31,4.2,Dairy and Egg Products
32,2.75,Dairy and Egg Products
33,2.6,Dairy and Egg Products
34,3.23,Dairy and Egg Products
35,1.16,Dairy and Egg Products
36,1.34,Dairy and Egg Products
37,2.58,Dairy and Egg Products
38,2.08,Dairy and Egg Products
39,4.37,Dairy and Egg Products
40,3.5,Dairy and Egg Products
41,2.49,Dairy and Egg Products
42,2.98,Dairy and Egg Products
43,3.61,Dairy and Egg Products
44,3.01,Dairy and Egg Products
45,2.31,Dairy and Egg Products
46,3.55,Dairy and Egg Products
47,2.59,Dairy and Egg Products
48,0.39,Dairy and Egg Products
49,0.32,Dairy and Egg Products
50,0.25,Dairy and Egg Products
51,0.24,Dairy and Egg Products
52,0.37,Dairy and Egg Products
53,0.5,Dairy and Egg Products
54,0.33,Dairy and Egg Products
55,0.46,Dairy and Egg Products
56,0.37,Dairy and Egg Products
57,0.36,Dairy and Egg Products
58,0.36,Dairy and Egg Products
59,4.11,Dairy and Egg Products
60,0.02,Dairy and Egg Products
61,0.02,Dairy and Egg Products
62,0.07,Dairy and Egg Products
63,0.08,Dairy and Egg Products
64,0.27,Dairy and Egg Products
65,0.01,Dairy and Egg Products
66,0.03,Dairy and Egg Products
67,1.18,Dairy and Egg Products
68,1.18,Dairy and Egg Products
69,0.37,Dairy and Egg Products
70,0.38,Dairy and Egg Products
71,0.48,Dairy and Egg Products
72,0.4,Dairy and Egg Products
73,0.45,Dairy and Egg Products
74,0.42,Dairy and Egg Products
75,0.4,Dairy and Egg Products
76,0.45,Dairy and Egg Products
77,0.42,Dairy and Egg Products
78,0.41,Dairy and Egg Products
79,0.45,Dairy and Egg Products
80,0.42,Dairy and Egg Products
81,0.38,Dairy and Egg Products
82,3.34,Dairy and Egg Products
83,4.08,Dairy and Egg Products
84,4.41,Dairy and Egg Products
85,4.03,Dairy and Egg Products
86,4.02,Dairy and Egg Products
87,0.94,Dairy and Egg Products
88,0.77,Dairy and Egg Products
89,0.9,Dairy and Egg Products
90,0.41,Dairy and Egg Products
91,0.39,Dairy and Egg Products
92,0.43,Dairy and Egg Products
93,0.63,Dairy and Egg Products
94,0.3,Dairy and Egg Products
95,0.17,Dairy and Egg Products
96,0.22,Dairy and Egg Products
97,0.54,Dairy and Egg Products
98,0.48,Dairy and Egg Products
99,0.39,Dairy and Egg Products
100,0.43,Dairy and Egg Products
101,6.31,Dairy and Egg Products
102,0.13,Dairy and Egg Products
103,1.97,Dairy and Egg Products
104,0.59,Dairy and Egg Products
105,0.89,Dairy and Egg Products
106,0.97,Dairy and Egg Products
107,0.83,Dairy and Egg Products
108,0.67,Dairy and Egg Products
109,0.74,Dairy and Egg Products
110,0.82,Dairy and Egg Products
111,1.29,Dairy and Egg Products
112,0.03,Dairy and Egg Products
113,2.3,Dairy and Egg Products
114,3.17,Dairy and Egg Products
115,3.06,Dairy and Egg Products
116,1.39,Dairy and Egg Products
117,1.05,Dairy and Egg Products
118,1.09,Dairy and Egg Products
119,1.29,Dairy and Egg Products
120,1.04,Dairy and Egg Products
121,3.15,Dairy and Egg Products
122,5.71,Dairy and Egg Products
123,0.15,Dairy and Egg Products
124,0.16,Dairy and Egg Products
125,7.73,Dairy and Egg Products
126,1.41,Dairy and Egg Products
127,1.33,Dairy and Egg Products
128,1.47,Dairy and Egg Products
129,1.58,Dairy and Egg Products
130,1.82,Dairy and Egg Products
131,0.09,Dairy and Egg Products
132,3.19,Dairy and Egg Products
133,0.42,Dairy and Egg Products
134,0.41,Dairy and Egg Products
135,0.77,Dairy and Egg Products
136,4.08,Dairy and Egg Products
137,4.41,Dairy and Egg Products
138,1.59,Dairy and Egg Products
139,0.66,Dairy and Egg Products
140,0.92,Dairy and Egg Products
141,2.87,Dairy and Egg Products
142,1.92,Dairy and Egg Products
143,1.26,Dairy and Egg Products
144,2.94,Dairy and Egg Products
145,3.02,Dairy and Egg Products
146,3.5,Dairy and Egg Products
147,1.82,Dairy and Egg Products
148,3.09,Dairy and Egg Products
149,1.32,Dairy and Egg Products
150,0.07,Dairy and Egg Products
151,0.1,Dairy and Egg Products
152,0.48,Dairy and Egg Products
153,0.42,Dairy and Egg Products
154,0.27,Dairy and Egg Products
155,0.5,Dairy and Egg Products
156,0.5,Dairy and Egg Products
157,4.3,Dairy and Egg Products
158,0.67,Dairy and Egg Products
159,3.0,Dairy and Egg Products
160,1.5,Dairy and Egg Products
161,1.13,Dairy and Egg Products
162,1.64,Dairy and Egg Products
163,2.36,Dairy and Egg Products
164,2.5,Dairy and Egg Products
165,1.84,Dairy and Egg Products
166,2.49,Dairy and Egg Products
169,0.81,Dairy and Egg Products
170,0.31,Dairy and Egg Products
171,0.39,Dairy and Egg Products
172,0.82,Dairy and Egg Products
173,3.87,Dairy and Egg Products
174,0.25,Dairy and Egg Products
175,0.23,Dairy and Egg Products
176,3.23,Dairy and Egg Products
177,4.3,Dairy and Egg Products
178,2.76,Dairy and Egg Products
179,0.37,Dairy and Egg Products
180,3.34,Dairy and Egg Products
181,0.77,Dairy and Egg Products
182,2.36,Dairy and Egg Products
183,0.67,Dairy and Egg Products
184,0.74,Dairy and Egg Products
185,0.74,Dairy and Egg Products
186,0.82,Dairy and Egg Products
187,0.83,Dairy and Egg Products
188,0.67,Dairy and Egg Products
189,1.13,Dairy and Egg Products
190,7.14,Dairy and Egg Products
191,10.0,Dairy and Egg Products
192,0.79,Dairy and Egg Products
193,0.98,Dairy and Egg Products
194,3.28,Dairy and Egg Products
195,2.58,Dairy and Egg Products
196,3.06,Dairy and Egg Products
197,0.38,Dairy and Egg Products
198,0.83,Dairy and Egg Products
199,0.49,Dairy and Egg Products
200,0.52,Dairy and Egg Products
201,0.82,Dairy and Egg Products
202,0.6,Dairy and Egg Products
203,0.32,Dairy and Egg Products
204,0.86,Dairy and Egg Products
205,0.21,Dairy and Egg Products
206,0.21,Dairy and Egg Products
207,0.31,Dairy and Egg Products
208,0.43,Dairy and Egg Products
209,1.65,Dairy and Egg Products
210,3.01,Dairy and Egg Products
211,2.13,Dairy and Egg Products
212,2.49,Dairy and Egg Products
213,2.31,Dairy and Egg Products
214,1.3,Dairy and Egg Products
215,0.52,Dairy and Egg Products
216,0.13,Dairy and Egg Products
217,1.81,Dairy and Egg Products
218,4.44,Dairy and Egg Products
219,0.67,Dairy and Egg Products
220,0.32,Dairy and Egg Products
221,1.82,Dairy and Egg Products
222,3.9,Dairy and Egg Products
223,3.87,Dairy and Egg Products
224,3.74,Dairy and Egg Products
225,3.61,Dairy and Egg Products
226,0.49,Dairy and Egg Products
227,0.39,Dairy and Egg Products
228,0.4,Dairy and Egg Products
229,0.45,Dairy and Egg Products
230,0.44,Dairy and Egg Products
231,0.41,Dairy and Egg Products
232,0.45,Dairy and Egg Products
233,0.46,Dairy and Egg Products
234,0.6,Dairy and Egg Products
235,0.46,Dairy and Egg Products
236,0.44,Dairy and Egg Products
237,0.77,Dairy and Egg Products
238,0.41,Dairy and Egg Products
239,0.52,Dairy and Egg Products
240,0.41,Dairy and Egg Products
241,0.83,Dairy and Egg Products
242,0.46,Dairy and Egg Products
243,0.19,Dairy and Egg Products
244,0.81,Dairy and Egg Products
245,0.56,Dairy and Egg Products
246,0.66,Dairy and Egg Products
247,0.39,Dairy and Egg Products
248,0.46,Dairy and Egg Products
249,1.06,Dairy and Egg Products
250,1.01,Spices and Herbs
251,5.3,Spices and Herbs
252,7.1,Spices and Herbs
253,3.7,Spices and Herbs
254,5.5,Spices and Herbs
255,7.47,Spices and Herbs
256,6.93,Spices and Herbs
257,8.8,Spices and Herbs
258,4.3,Spices and Herbs
259,1.83,Spices and Herbs
260,2.32,Spices and Herbs
261,4.72,Spices and Herbs
262,4.7,Spices and Herbs
263,4.8,Spices and Herbs
264,4.7,Spices and Herbs
265,5.2,Spices and Herbs
266,3.3,Spices and Herbs
267,3.7,Spices and Herbs
268,2.5,Spices and Herbs
269,2.99,Spices and Herbs
270,3.64,Spices and Herbs
271,2.3,Spices and Herbs
272,3.6,Spices and Herbs
273,6.08,Spices and Herbs
274,2.15,Spices and Herbs
275,4.05,Spices and Herbs
276,2.69,Spices and Herbs
277,4.33,Spices and Herbs
278,5.44,Spices and Herbs
279,1.19,Spices and Herbs
280,2.48,Spices and Herbs
281,1.13,Spices and Herbs
282,7.9,Spices and Herbs
283,3.14,Spices and Herbs
284,2.37,Spices and Herbs
285,3.23,Spices and Herbs
286,1.09,Spices and Herbs
287,4.7,Spices and Herbs
288,4.3,Spices and Herbs
289,3.9,Spices and Herbs
290,6.18,Spices and Herbs
291,4.5,Spices and Herbs
292,0.81,Spices and Herbs
293,0.91,Spices and Herbs
294,0.64,Spices and Herbs
295,0.1,Spices and Herbs
296,0.04,Spices and Herbs
297,1.81,Spices and Herbs
298,0.11,Spices and Herbs
299,0.06,Spices and Herbs
300,0.01,Spices and Herbs
301,0.01,Spices and Herbs
302,0.32,Spices and Herbs
303,0.83,Spices and Herbs
304,0.93,Spices and Herbs
305,1.11,Spices and Herbs
306,1.09,Spices and Herbs
307,2.41,Spices and Herbs
308,0.03,Spices and Herbs
309,0.08,Spices and Herbs
314,1.15,Baby Foods
315,0.03,Baby Foods
316,2.22,Baby Foods
317,2.22,Baby Foods
318,2.5,Baby Foods
319,2.27,Baby Foods
320,2.25,Baby Foods
321,1.7,Baby Foods
322,2.43,Baby Foods
323,2.6,Baby Foods
324,1.21,Baby Foods
325,1.01,Baby Foods
326,1.01,Baby Foods
327,1.77,Baby Foods
328,1.77,Baby Foods
329,2.4,Baby Foods
330,0.14,Baby Foods
331,1.9,Baby Foods
332,0.22,Baby Foods
333,17.46,Baby Foods
334,0.0,Baby Foods
335,0.06,Baby Foods
336,0.05,Baby Foods
337,0.4,Baby Foods
338,0.33,Baby Foods
339,0.7,Baby Foods
340,0.54,Baby Foods
341,0.36,Baby Foods
342,0.35,Baby Foods
343,0.6,Baby Foods
344,0.43,Baby Foods
345,0.92,Baby Foods
346,0.53,Baby Foods
347,0.48,Baby Foods
348,0.87,Baby Foods
349,0.38,Baby Foods
350,0.38,Baby Foods
351,0.35,Baby Foods
352,0.3,Baby Foods
353,0.32,Baby Foods
354,0.3,Baby Foods
355,0.22,Baby Foods
356,0.22,Baby Foods
357,0.55,Baby Foods
358,0.4,Baby Foods
359,0.22,Baby Foods
360,0.41,Baby Foods
361,0.48,Baby Foods
362,0.25,Baby Foods
363,0.32,Baby Foods
364,0.4,Baby Foods
365,0.27,Baby Foods
366,0.3,Baby Foods
367,0.4,Baby Foods
368,0.47,Baby Foods
369,0.7,Baby Foods
370,0.3,Baby Foods
371,0.4,Baby Foods
372,0.32,Baby Foods
373,0.22,Baby Foods
374,0.19,Baby Foods
375,0.1,Baby Foods
376,0.3,Baby Foods
377,0.12,Baby Foods
378,0.15,Baby Foods
379,0.18,Baby Foods
380,0.19,Baby Foods
381,0.19,Baby Foods
382,0.21,Baby Foods
383,0.11,Baby Foods
384,0.17,Baby Foods
385,0.3,Baby Foods
386,0.04,Baby Foods
387,0.02,Baby Foods
388,0.04,Baby Foods
389,0.05,Baby Foods
390,0.19,Baby Foods
391,0.23,Baby Foods
392,0.47,Baby Foods
393,0.5,Baby Foods
394,0.31,Baby Foods
395,0.04,Baby Foods
396,0.06,Baby Foods
397,0.11,Baby Foods
398,0.11,Baby Foods
399,0.08,Baby Foods
400,0.08,Baby Foods
401,0.08,Baby Foods
402,0.08,Baby Foods
403,0.09,Baby Foods
404,0.1,Baby Foods
405,0.2,Baby Foods
406,0.03,Baby Foods
407,0.09,Baby Foods
408,0.04,Baby Foods
409,0.03,Baby Foods
410,0.03,Baby Foods
411,0.03,Baby Foods
412,0.05,Baby Foods
413,0.02,Baby Foods
414,0.03,Baby Foods
415,0.03,Baby Foods
416,0.03,Baby Foods
417,0.1,Baby Foods
418,0.03,Baby Foods
419,0.04,Baby Foods
420,0.07,Baby Foods
421,0.13,Baby Foods
422,0.06,Baby Foods
423,0.12,Baby Foods
424,0.03,Baby Foods
425,0.1,Baby Foods
426,0.03,Baby Foods
427,0.04,Baby Foods
428,0.03,Baby Foods
429,0.04,Baby Foods
430,0.03,Baby Foods
431,0.05,Baby Foods
432,0.03,Baby Foods
433,0.05,Baby Foods
434,0.06,Baby Foods
435,0.03,Baby Foods
436,0.03,Baby Foods
437,0.04,Baby Foods
438,0.09,Baby Foods
439,0.04,Baby Foods
440,0.04,Baby Foods
441,0.03,Baby Foods
442,3.13,Baby Foods
443,2.6,Baby Foods
444,2.4,Baby Foods
445,1.4,Baby Foods
446,0.19,Baby Foods
447,0.22,Baby Foods
448,12.67,Baby Foods
449,1.9,Baby Foods
450,0.35,Baby Foods
451,7.5,Baby Foods
452,3.7,Baby Foods
453,10.92,Baby Foods
454,0.08,Baby Foods
455,0.29,Baby Foods
456,0.29,Baby Foods
457,0.33,Baby Foods
458,0.27,Baby Foods
459,5.7,Baby Foods
460,0.8,Baby Foods
461,0.9,Baby Foods
462,2.7,Baby Foods
463,1.5,Baby Foods
464,1.1,Baby Foods
465,0.53,Baby Foods
466,0.78,Baby Foods
467,0.93,Baby Foods
468,0.54,Baby Foods
469,0.01,Baby Foods
470,0.03,Baby Foods
471,0.05,Baby Foods
472,0.04,Baby Foods
473,0.03,Baby Foods
474,0.17,Baby Foods
475,0.3,Baby Foods
476,0.03,Baby Foods
477,0.28,Baby Foods
478,0.28,Baby Foods
479,0.2,Baby Foods
480,0.04,Baby Foods
481,0.05,Baby Foods
482,0.05,Baby Foods
483,0.28,Baby Foods
484,0.3,Baby Foods
485,0.04,Baby Foods
486,0.04,Baby Foods
487,0.03,Baby Foods
488,0.03,Baby Foods
489,0.3,Baby Foods
490,0.16,Baby Foods
491,0.24,Baby Foods
492,0.07,Baby Foods
493,0.27,Baby Foods
494,0.26,Baby Foods
495,0.15,Baby Foods
496,0.4,Baby Foods
497,0.4,Baby Foods
498,0.8,Baby Foods
499,0.13,Baby Foods
500,0.61,Baby Foods
501,0.36,Baby Foods
502,0.39,Baby Foods
503,0.71,Baby Foods
504,1.77,Baby Foods
505,0.37,Baby Foods
506,0.6,Baby Foods
507,0.57,Baby Foods
508,1.04,Baby Foods
509,0.59,Baby Foods
510,0.49,Baby Foods
511,0.92,Baby Foods
512,0.49,Baby Foods
513,0.93,Baby Foods
514,0.49,Baby Foods
515,0.65,Baby Foods
516,0.72,Baby Foods
517,0.76,Baby Foods
518,0.46,Baby Foods
519,0.53,Baby Foods
520,1.02,Baby Foods
521,4.1,Baby Foods
522,0.66,Baby Foods
523,5.2,Baby Foods
524,0.66,Baby Foods
525,5.2,Baby Foods
526,5.2,Baby Foods
527,1.31,Baby Foods
528,0.66,Baby Foods
529,5.0,Baby Foods
530,0.66,Baby Foods
531,1.27,Baby Foods
532,1.31,Baby Foods
533,4.4,Baby Foods
534,0.88,Baby Foods
535,5.0,Baby Foods
536,0.65,Baby Foods
537,0.79,Baby Foods
538,1.53,Baby Foods
539,0.66,Baby Foods
540,6.0,Baby Foods
541,5.2,Baby Foods
542,1.28,Baby Foods
543,0.66,Baby Foods
544,3.85,Baby Foods
545,5.0,Baby Foods
546,1.17,Baby Foods
547,1.18,Baby Foods
548,0.49,Baby Foods
549,0.96,Baby Foods
550,3.86,Baby Foods
551,1.27,Baby Foods
552,0.66,Baby Foods
553,0.49,Baby Foods
554,6.2,Baby Foods
555,0.49,Baby Foods
556,0.96,Baby Foods
557,6.0,Baby Foods
558,3.94,Baby Foods
559,1.53,Baby Foods
560,0.49,Baby Foods
561,0.96,Baby Foods
562,0.79,Baby Foods
563,3.94,Baby Foods
564,0.58,Baby Foods
565,1.15,Baby Foods
566,5.7,Baby Foods
567,0.79,Baby Foods
568,4.51,Baby Foods
569,0.66,Baby Foods
570,5.2,Baby Foods
571,0.56,Baby Foods
572,0.52,Baby Foods
573,1.0,Baby Foods
574,4.0,Baby Foods
575,0.6,Baby Foods
576,1.14,Baby Foods
577,4.51,Baby Foods
578,5.7,Baby Foods
579,0.79,Baby Foods
580,0.19,Baby Foods
581,0.49,Baby Foods
582,0.53,Baby Foods
583,1.06,Baby Foods
584,3.9,Baby Foods
585,0.53,Baby Foods
586,1.06,Baby Foods
587,3.8,Baby Foods
588,0.68,Baby Foods
589,5.09,Baby Foods
590,0.82,Baby Foods
591,6.18,Baby Foods
592,0.52,Baby Foods
593,0.97,Baby Foods
594,3.91,Baby Foods
595,0.49,Baby Foods
596,3.94,Baby Foods
597,0.96,Baby Foods
598,0.96,Baby Foods
599,0.49,Baby Foods
600,3.86,Baby Foods
601,0.88,Baby Foods
602,0.59,Baby Foods
603,3.82,Baby Foods
604,0.16,Baby Foods
605,0.53,Baby Foods
606,0.53,Baby Foods
607,0.66,Baby Foods
608,0.59,Baby Foods
609,0.54,Baby Foods
610,1.19,Baby Foods
611,4.5,Baby Foods
612,0.68,Baby Foods
613,5.1,Baby Foods
614,0.66,Baby Foods
615,0.79,Baby Foods
616,0.66,Baby Foods
617,0.98,Baby Foods
618,0.98,Baby Foods
619,0.66,Baby Foods
620,0.59,Baby Foods
621,0.52,Baby Foods
622,0.52,Baby Foods
623,0.52,Baby Foods
624,0.49,Baby Foods
625,0.49,Baby Foods
626,0.49,Baby Foods
627,0.23,Baby Foods
628,0.23,Baby Foods
629,10.0,Baby Foods
630,0.65,Baby Foods
631,3.57,Baby Foods
632,3.83,Baby Foods
633,0.0,Fats and Oils
634,0.11,Fats and Oils
636,0.07,Fats and Oils
638,0.22,Fats and Oils
639,0.1,Fats and Oils
640,0.26,Fats and Oils
641,0.07,Fats and Oils
642,0.2,Fats and Oils
643,0.06,Fats and Oils
644,0.1,Fats and Oils
645,0.19,Fats and Oils
646,0.15,Fats and Oils
647,0.12,Fats and Oils
648,0.11,Fats and Oils
649,0.25,Fats and Oils
650,0.11,Fats and Oils
651,0.81,Fats and Oils
652,0.0,Fats and Oils
653,0.0,Fats and Oils
654,0.0,Fats and Oils
655,0.0,Fats and Oils
656,0.01,Fats and Oils
657,0.01,Fats and Oils
658,0.02,Fats and Oils
659,0.0,Fats and Oils
660,0.0,Fats and Oils
661,0.0,Fats and Oils
662,0.0,Fats and Oils
663,0.0,Fats and Oils
664,0.07,Fats and Oils
665,0.29,Fats and Oils
666,0.02,Fats and Oils
667,0.0,Fats and Oils
668,0.0,Fats and Oils
669,0.29,Fats and Oils
670,0.2,Fats and Oils
671,0.13,Fats and Oils
672,0.19,Fats and Oils
675,0.1,Fats and Oils
676,0.0,Fats and Oils
677,0.0,Fats and Oils
678,0.0,Fats and Oils
679,0.0,Fats and Oils
680,0.0,Fats and Oils
681,0.0,Fats and Oils
682,0.0,Fats and Oils
683,0.0,Fats and Oils
684,0.0,Fats and Oils
685,0.0,Fats and Oils
686,0.0,Fats and Oils
687,0.0,Fats and Oils
688,0.0,Fats and Oils
689,0.0,Fats and Oils
690,0.0,Fats and Oils
691,0.0,Fats and Oils
692,0.0,Fats and Oils
693,0.0,Fats and Oils
694,0.0,Fats and Oils
695,0.21,Fats and Oils
696,0.0,Fats and Oils
697,0.0,Fats and Oils
698,0.0,Fats and Oils
699,0.0,Fats and Oils
700,0.0,Fats and Oils
701,0.0,Fats and Oils
702,0.0,Fats and Oils
703,0.0,Fats and Oils
704,0.0,Fats and Oils
705,0.0,Fats and Oils
706,0.0,Fats and Oils
707,0.0,Fats and Oils
708,0.0,Fats and Oils
709,0.0,Fats and Oils
710,0.0,Fats and Oils
711,0.0,Fats and Oils
712,0.0,Fats and Oils
713,0.0,Fats and Oils
714,0.0,Fats and Oils
715,0.0,Fats and Oils
716,0.0,Fats and Oils
717,0.0,Fats and Oils
718,0.0,Fats and Oils
719,0.0,Fats and Oils
720,0.03,Fats and Oils
721,0.0,Fats and Oils
722,0.0,Fats and Oils
723,0.0,Fats and Oils
724,0.0,Fats and Oils
725,0.0,Fats and Oils
726,0.0,Fats and Oils
727,0.0,Fats and Oils
728,0.0,Fats and Oils
729,0.0,Fats and Oils
730,0.0,Fats and Oils
731,0.01,Fats and Oils
732,0.26,Fats and Oils
733,0.26,Fats and Oils
734,0.0,Fats and Oils
735,0.11,Fats and Oils
736,0.0,Fats and Oils
737,0.0,Fats and Oils
738,0.0,Fats and Oils
739,0.0,Fats and Oils
740,0.0,Fats and Oils
741,0.0,Fats and Oils
742,0.0,Fats and Oils
743,0.0,Fats and Oils
744,0.0,Fats and Oils
745,0.14,Fats and Oils
746,0.1,Fats and Oils
747,0.24,Fats and Oils
748,0.11,Fats and Oils
749,0.06,Fats and Oils
750,0.06,Fats and Oils
751,0.07,Fats and Oils
752,0.0,Fats and Oils
753,0.0,Fats and Oils
754,0.09,Fats and Oils
755,0.36,Fats and Oils
756,0.4,Fats and Oils
757,0.17,Fats and Oils
758,0.62,Fats and Oils
759,0.07,Fats and Oils
760,0.0,Fats and Oils
761,0.0,Fats and Oils
762,0.0,Fats and Oils
763,0.0,Fats and Oils
764,0.0,Fats and Oils
765,0.0,Fats and Oils
766,0.0,Fats and Oils
767,0.0,Fats and Oils
768,0.0,Fats and Oils
769,0.0,Fats and Oils
770,0.0,Fats and Oils
771,0.0,Fats and Oils
772,0.0,Fats and Oils
773,0.04,Fats and Oils
774,0.08,Fats and Oils
775,0.04,Fats and Oils
776,0.04,Fats and Oils
777,0.04,Fats and Oils
778,0.04,Fats and Oils
779,0.04,Fats and Oils
780,0.04,Fats and Oils
781,0.0,Fats and Oils
782,0.0,Fats and Oils
783,0.0,Fats and Oils
784,0.0,Fats and Oils
785,0.11,Fats and Oils
786,0.0,Fats and Oils
787,0.0,Fats and Oils
789,0.0,Fats and Oils
794,0.0,Fats and Oils
798,0.17,Fats and Oils
799,0.0,Fats and Oils
801,0.2,Fats and Oils
802,0.02,Fats and Oils
803,0.0,Fats and Oils
804,0.0,Fats and Oils
805,0.0,Fats and Oils
806,0.0,Fats and Oils
807,0.0,Fats and Oils
808,0.0,Fats and Oils
809,0.0,Fats and Oils
810,0.0,Fats and Oils
811,0.01,Fats and Oils
812,0.01,Fats and Oils
813,0.01,Fats and Oils
814,0.0,Fats and Oils
815,0.14,Fats and Oils
816,0.25,Fats and Oils
817,0.3,Fats and Oils
818,0.29,Fats and Oils
819,0.31,Fats and Oils
820,0.07,Fats and Oils
821,0.07,Fats and Oils
822,0.87,Poultry Products
823,1.48,Poultry Products
824,1.91,Poultry Products
825,2.36,Poultry Products
826,2.16,Poultry Products
827,1.98,Poultry Products
828,1.31,Poultry Products
829,1.67,Poultry Products
830,2.04,Poultry Products
831,1.94,Poultry Products
832,1.76,Poultry Products
833,1.54,Poultry Products
834,2.24,Poultry Products
835,2.1,Poultry Products
836,1.99,Poultry Products
837,0.93,Poultry Products
838,0.72,Poultry Products
839,1.15,Poultry Products
840,1.23,Poultry Products
841,0.96,Poultry Products
842,3.32,Poultry Products
843,6.27,Poultry Products
844,4.23,Poultry Products
845,2.72,Poultry Products
846,4.42,Poultry Products
847,6.59,Poultry Products
848,7.3,Poultry Products
849,2.67,Poultry Products
850,3.98,Poultry Products
851,0.93,Poultry Products
852,1.06,Poultry Products
853,1.26,Poultry Products
854,1.23,Poultry Products
855,1.14,Poultry Products
856,1.58,Poultry Products
857,2.08,Poultry Products
858,2.6,Poultry Products
859,2.49,Poultry Products
860,2.26,Poultry Products
861,0.97,Poultry Products
862,1.27,Poultry Products
863,1.23,Poultry Products
864,1.19,Poultry Products
865,2.0,Poultry Products
866,2.91,Poultry Products
867,2.8,Poultry Products
868,2.66,Poultry Products
869,0.45,Poultry Products
870,1.26,Poultry Products
871,1.96,Poultry Products
872,2.47,Poultry Products
873,2.25,Poultry Products
874,1.93,Poultry Products
875,1.85,Poultry Products
876,2.8,Poultry Products
877,2.65,Poultry Products
878,2.38,Poultry Products
879,0.8,Poultry Products
880,0.95,Poultry Products
881,1.1,Poultry Products
882,1.02,Poultry Products
883,0.97,Poultry Products
884,0.68,Poultry Products
885,1.08,Poultry Products
886,1.0,Poultry Products
887,0.97,Poultry Products
888,1.86,Poultry Products
889,2.33,Poultry Products
890,2.89,Poultry Products
891,2.36,Poultry Products
892,2.65,Poultry Products
893,2.05,Poultry Products
894,3.22,Poultry Products
895,2.56,Poultry Products
896,3.02,Poultry Products
897,1.47,Poultry Products
898,2.17,Poultry Products
899,2.68,Poultry Products
900,2.07,Poultry Products
901,2.43,Poultry Products
902,1.76,Poultry Products
903,2.98,Poultry Products
904,2.11,Poultry Products
905,2.78,Poultry Products
906,1.86,Poultry Products
907,2.5,Poultry Products
908,3.07,Poultry Products
909,2.72,Poultry Products
910,2.68,Poultry Products
911,4.24,Poultry Products
912,3.77,Poultry Products
913,1.29,Poultry Products
914,2.04,Poultry Products
915,2.52,Poultry Products
916,1.73,Poultry Products
917,2.25,Poultry Products
918,1.58,Poultry Products
919,2.79,Poultry Products
920,1.92,Poultry Products
921,2.58,Poultry Products
922,1.21,Poultry Products
923,1.38,Poultry Products
924,1.76,Poultry Products
925,1.64,Poultry Products
926,1.63,Poultry Products
927,1.63,Poultry Products
928,2.12,Poultry Products
929,2.14,Poultry Products
930,2.02,Poultry Products
931,1.28,Poultry Products
932,1.71,Poultry Products
933,1.68,Poultry Products
934,1.45,Poultry Products
935,1.19,Poultry Products
936,1.52,Poultry Products
937,3.39,Poultry Products
938,4.63,Poultry Products
939,0.66,Poultry Products
940,0.78,Poultry Products
941,1.65,Poultry Products
942,2.13,Poultry Products
943,1.37,Poultry Products
944,1.96,Poultry Products
945,1.19,Poultry Products
946,1.77,Poultry Products
947,1.4,Poultry Products
948,2.06,Poultry Products
949,3.01,Poultry Products
950,4.28,Poultry Products
951,0.6,Poultry Products
952,0.83,Poultry Products
953,2.08,Poultry Products
954,3.12,Poultry Products
955,1.32,Poultry Products
956,1.94,Poultry Products
957,1.17,Poultry Products
958,1.74,Poultry Products
959,3.38,Poultry Products
960,4.67,Poultry Products
961,1.36,Poultry Products
962,1.86,Poultry Products
963,1.9,Poultry Products
964,2.6,Poultry Products
965,3.07,Poultry Products
966,0.77,Poultry Products
967,0.74,Poultry Products
968,1.72,Poultry Products
969,2.62,Poultry Products
970,2.34,Poultry Products
971,3.17,Poultry Products
972,3.07,Poultry Products
973,1.13,Poultry Products
974,1.2,Poultry Products
975,0.96,Poultry Products
976,0.97,Poultry Products
977,0.63,Poultry Products
978,1.53,Poultry Products
979,2.42,Poultry Products
980,2.7,Poultry Products
981,2.7,Poultry Products
982,2.2,Poultry Products
983,2.7,Poultry Products
984,2.7,Poultry Products
985,1.78,Poultry Products
986,2.48,Poultry Products
987,1.84,Poultry Products
988,2.51,Poultry Products
989,1.1,Poultry Products
990,2.14,Poultry Products
991,3.23,Poultry Products
992,4.29,Poultry Products
993,3.03,Poultry Products
994,3.92,Poultry Products
995,3.21,Poultry Products
